prompt,target,model_output
"
inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Chris Godwin walked to first base
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Tristan Jarry dunked the ball
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Nelson Cruz was out at first
Plausible/implausible?
answer:
plausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Joao Moutinho caught the screen pass in the NFC championship
Plausible/implausible?
answer:
",implausible,implausible
"
inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Chris Godwin walked to first base
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Tristan Jarry dunked the ball
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Nelson Cruz was out at first
Plausible/implausible?
answer:
plausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Carlos Correa struck out the side
Plausible/implausible?
answer:
",plausible,plausible
"
inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Chris Godwin walked to first base
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Tristan Jarry dunked the ball
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Nelson Cruz was out at first
Plausible/implausible?
answer:
plausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Brandin Cooks backhanded a shot
Plausible/implausible?
answer:
",implausible,plausible
"
inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Chris Godwin walked to first base
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Tristan Jarry dunked the ball
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Nelson Cruz was out at first
Plausible/implausible?
answer:
plausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Jesus Luzardo was out at third
Plausible/implausible?
answer:
",plausible,implausible
"
inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Chris Godwin walked to first base
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Tristan Jarry dunked the ball
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Nelson Cruz was out at first
Plausible/implausible?
answer:
plausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Derek Carr hit the screen pass in the Superbowl
Plausible/implausible?
answer:
",plausible,plausible
"
inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Chris Godwin walked to first base
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Tristan Jarry dunked the ball
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Nelson Cruz was out at first
Plausible/implausible?
answer:
plausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Mathieu Valbuena scored a windmill dunk in the Western Conference Finals
Plausible/implausible?
answer:
",implausible,implausible
"
inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Kris Letang lost control of the puck
Plausible/implausible?
answer:
plausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Baker Mayfield hit nothing but net
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Juan Soto hit the slant pass in the NFC divisional round
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Javi Martinez launched the desperation heave
Plausible/implausible?
answer:
",implausible,implausible
"
inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Fernandinho converted the first down
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Kris Letang lost control of the puck
Plausible/implausible?
answer:
plausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Marouane Fellaini scored a freekick
Plausible/implausible?
answer:
plausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Robert Covington was called for icing
Plausible/implausible?
answer:
",implausible,plausible
"
inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Sergio Busquets got on base
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Fernandinho converted the first down
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Javi Martinez comitted a three second violation
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Sam Darnold scored on the power play in the Stanley Cup
Plausible/implausible?
answer:
",implausible,plausible
"
inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Edwin Diaz scored a bicycle kick
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Sergio Busquets got on base
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Gerard Pique watched the pitch go by in the National League Championship Series
Plausible/implausible?
answer:
implausible

inputs:
Determine whether the following statement or statements are plausible or implausible:
Statement: Jack Flaherty hit a walkoff homer
Plausible/implausible?
answer:
",plausible,plausible
