prompt,target,model_output
"Determine whether the following statement or statements are plausible or implausible:
Statement: Joao Moutinho caught the screen pass in the NFC championship
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Carlos Correa struck out the side
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Brandin Cooks backhanded a shot
Plausible/implausible?",implausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Jesus Luzardo was out at third
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Derek Carr hit the screen pass in the Superbowl
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Mathieu Valbuena scored a windmill dunk in the Western Conference Finals
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Javi Martinez launched the desperation heave
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Robert Covington was called for icing
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Sam Darnold scored on the power play in the Stanley Cup
Plausible/implausible?",implausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Jack Flaherty hit a walkoff homer
Plausible/implausible?",plausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Igor Shesterkin launched a hail mary
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Xander Bogaerts shot the puck
Plausible/implausible?",implausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Malcolm Brogdon ran out of bounds
Plausible/implausible?",implausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Matt Ryan scored a penalty kick
Plausible/implausible?",implausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Baker Mayfield got into the endzone
Plausible/implausible?",plausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Stephan El Shaarawy scored a corner kick
Plausible/implausible?",plausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Wayne Rooney shot from outside the eighteen
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Zach LaVine  airballed the shot in the Western Conference Finals
Plausible/implausible?",plausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Jimmy Butler eurostepped to the basket
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Lonzo Ball took a long two
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Connor McDavid scored a penalty kick
Plausible/implausible?",implausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Ramires scored a header goal
Plausible/implausible?",plausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: LeBron James took a corner kick
Plausible/implausible?",implausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Giorgio Chiellini committed a handball in the FA Cup
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Freddie Freeman worked a full count
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Zach LaVine  drove into the restricted area
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Hulk got on base
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Jesus Luzardo headed back to the dugout
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Claude Giroux stepped on first base
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Mathieu Valbuena shot from outside the eighteen
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Bastian Schweinsteiger earned a direct kick
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Mike Trout hit a walkoff homer
Plausible/implausible?",plausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Franck Ribery performed a slide tackle
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Michael Porter Jr. called for the screen
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: J.T. Miller took a three
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Cam Newton killed the powerplay
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Nick Castellanos scored in extra time
Plausible/implausible?",implausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Timo Meier took a backhand shot in the Stanley Cup
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Arjen Robben earned a direct kick
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Sonny Gray flew out to center
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Victor Wanyama took a left footed shot
Plausible/implausible?",plausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Terry Rozier  shot from beyond the arc in the Western Conference Finals
Plausible/implausible?",plausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Willian performed a cruyff turn in the Champions Leage Semifinal
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: De'Aaron Fox scored a bicycle kick
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Gerrit Cole set the hard screen
Plausible/implausible?",implausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Igor Shesterkin wristed a shot
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Dejounte Murray took a left footed shot
Plausible/implausible?",implausible,plausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Mike Conley called for the screen
Plausible/implausible?",plausible,implausible
"Determine whether the following statement or statements are plausible or implausible:
Statement: Kyle Anderson caught the screen pass
Plausible/implausible?",implausible,plausible
